# wavelength(nm) flux flux_error
1.924812696491072984e+03 nan nan
1.924819243553502702e+03 nan nan
1.924825790485716652e+03 nan nan
1.924832337287710061e+03 nan nan
1.924838883959479972e+03 nan nan
1.924845430501022520e+03 nan nan
1.924851976912333839e+03 nan nan
1.924858523193410520e+03 nan nan
1.924865069344248923e+03 nan nan
1.924871615364845411e+03 nan nan
1.924878161255196346e+03 nan nan
1.924884707015298090e+03 nan nan
1.924891252645146778e+03 nan nan
1.924897798144738999e+03 nan nan
1.924904343514070888e+03 nan nan
1.924910888753138806e+03 nan nan
1.924917433861939571e+03 nan nan
1.924923978840468862e+03 nan nan
1.924930523688723497e+03 nan nan
1.924937068406699382e+03 nan nan
1.924943612994393789e+03 nan nan
1.924950157451801715e+03 nan nan
1.924956701778920888e+03 nan nan
1.924963245975746304e+03 nan nan
1.924969790042275690e+03 nan nan
1.924976333978504272e+03 nan nan
1.924982877784429320e+03 nan nan
1.924989421460046287e+03 nan nan
1.924995965005351991e+03 nan nan
1.925002508420342792e+03 nan nan
1.925009051705015281e+03 nan nan
1.925015594859365137e+03 nan nan
1.925022137883389178e+03 nan nan
1.925028680777083991e+03 nan nan
1.925035223540445259e+03 nan nan
1.925041766173470023e+03 nan nan
1.925048308676154193e+03 nan nan
1.925054851048494129e+03 nan nan
1.925061393290486421e+03 nan nan
1.925067935402127205e+03 nan nan
1.925074477383413068e+03 nan nan
1.925081019234339919e+03 nan nan
1.925087560954904802e+03 nan nan
1.925094102545103624e+03 nan nan
1.925100644004932519e+03 nan nan
1.925107185334388305e+03 nan nan
1.925113726533467116e+03 nan nan
1.925120267602165541e+03 nan nan
1.925126808540479487e+03 nan nan
1.925133349348405545e+03 nan nan
1.925139890025940531e+03 nan nan
1.925146430573079897e+03 nan nan
1.925152970989820460e+03 nan nan
1.925159511276158810e+03 nan nan
1.925166051432091081e+03 nan nan
1.925172591457613407e+03 nan nan
1.925179131352722379e+03 nan nan
1.925185671117414358e+03 nan nan
1.925192210751685707e+03 nan nan
1.925198750255532786e+03 nan nan
1.925205289628951732e+03 nan nan
1.925211828871939360e+03 nan nan
1.925218367984491579e+03 nan nan
1.925224906966604749e+03 nan nan
1.925231445818275233e+03 nan nan
1.925237984539500076e+03 nan nan
1.925244523130274956e+03 nan nan
1.925251061590596237e+03 nan nan
1.925257599920460279e+03 nan nan
1.925264138119863674e+03 nan nan
1.925270676188802781e+03 nan nan
1.925277214127273737e+03 nan nan
1.925283751935273131e+03 nan nan
1.925290289612797096e+03 nan nan
1.925296827159842223e+03 nan nan
1.925303364576404419e+03 nan nan
1.925309901862480501e+03 nan nan
1.925316439018066831e+03 nan nan
1.925322976043159542e+03 nan nan
1.925329512937755226e+03 nan nan
1.925336049701850015e+03 nan nan
1.925342586335440274e+03 nan nan
1.925349122838522362e+03 nan nan
1.925355659211092870e+03 nan nan
1.925362195453147933e+03 nan nan
1.925368731564683912e+03 nan nan
1.925375267545697398e+03 nan nan
1.925381803396184523e+03 nan nan
1.925388339116141879e+03 nan nan
1.925394874705565371e+03 nan nan
1.925401410164451590e+03 nan nan
1.925407945492797126e+03 nan nan
1.925414480690598111e+03 nan nan
1.925421015757850910e+03 nan nan
1.925427550694552110e+03 nan nan
1.925434085500697620e+03 nan nan
1.925440620176284028e+03 nan nan
1.925447154721307697e+03 nan nan
1.925453689135765444e+03 nan nan
1.925460223419652948e+03 nan nan
1.925466757572966799e+03 nan nan
1.925473291595703358e+03 nan nan
1.925479825487858989e+03 nan nan
1.925486359249430052e+03 nan nan
1.925492892880413365e+03 nan nan
1.925499426380804380e+03 nan nan
1.925505959750600141e+03 nan nan
1.925512492989796783e+03 nan nan
1.925519026098390668e+03 nan nan
1.925525559076378158e+03 nan nan
1.925532091923755615e+03 nan nan
1.925538624640519402e+03 nan nan
1.925545157226666106e+03 nan nan
1.925551689682191636e+03 nan nan
1.925558222007092581e+03 nan nan
1.925564754201365531e+03 nan nan
1.925571286265006620e+03 nan nan
1.925577818198012210e+03 nan nan
1.925584350000378663e+03 nan nan
1.925590881672102341e+03 nan nan
1.925597413213179607e+03 nan nan
1.925603944623607049e+03 nan nan
1.925610475903380575e+03 nan nan
1.925617007052497001e+03 nan nan
1.925623538070952691e+03 nan nan
1.925630068958743323e+03 nan nan
1.925636599715865941e+03 nan nan
1.925643130342316681e+03 nan nan
1.925649660838092132e+03 nan nan
1.925656191203188655e+03 nan nan
1.925662721437601931e+03 nan nan
1.925669251541329004e+03 nan nan
1.925675781514366008e+03 nan nan
1.925682311356709533e+03 nan nan
1.925688841068355714e+03 nan nan
1.925695370649300912e+03 nan nan
1.925701900099541490e+03 nan nan
1.925708429419074037e+03 nan nan
1.925714958607894459e+03 nan nan
1.925721487665999803e+03 nan nan
1.925728016593385973e+03 nan nan
1.925734545390049334e+03 nan nan
1.925741074055986246e+03 nan nan
1.925747602591193299e+03 nan nan
1.925754130995666628e+03 nan nan
1.925760659269402367e+03 nan nan
1.925767187412397789e+03 nan nan
1.925773715424648344e+03 nan nan
1.925780243306150851e+03 nan nan
1.925786771056901671e+03 nan nan
1.925793298676896711e+03 nan nan
1.925799826166133016e+03 nan nan
1.925806353524606266e+03 nan nan
1.925812880752313731e+03 nan nan
1.925819407849250865e+03 nan nan
1.925825934815414257e+03 nan nan
1.925832461650800724e+03 nan nan
1.925838988355406173e+03 nan nan
1.925845514929226965e+03 nan nan
1.925852041372260146e+03 nan nan
1.925858567684500940e+03 nan nan
1.925865093865946619e+03 nan nan
1.925871619916593318e+03 nan nan
1.925878145836437625e+03 nan nan
1.925884671625474994e+03 nan nan
1.925891197283702695e+03 nan nan
1.925897722811117092e+03 nan nan
1.925904248207714318e+03 nan nan
1.925910773473490281e+03 nan nan
1.925917298608442024e+03 nan nan
1.925923823612565911e+03 nan nan
1.925930348485857849e+03 nan nan
1.925936873228314653e+03 nan nan
1.925943397839932231e+03 nan nan
1.925949922320707174e+03 nan nan
1.925956446670636296e+03 nan nan
1.925962970889715052e+03 nan nan
1.925969494977940485e+03 nan nan
1.925976018935308957e+03 nan nan
1.925982542761816603e+03 nan nan
1.925989066457460012e+03 nan nan
1.925995590022235319e+03 nan nan
1.926002113456138659e+03 nan nan
1.926008636759167075e+03 nan nan
1.926015159931316475e+03 nan nan
1.926021682972583221e+03 nan nan
1.926028205882964130e+03 nan nan
1.926034728662455109e+03 nan nan
1.926041251311052520e+03 nan nan
1.926047773828753179e+03 nan nan
1.926054296215552995e+03 nan nan
1.926060818471448783e+03 nan nan
1.926067340596436452e+03 nan nan
1.926073862590512363e+03 nan nan
1.926080384453673332e+03 nan nan
1.926086906185915268e+03 nan nan
1.926093427787234532e+03 nan nan
1.926099949257628396e+03 nan nan
1.926106470597092084e+03 nan nan
1.926112991805622642e+03 nan nan
1.926119512883216203e+03 nan nan
1.926126033829869357e+03 nan nan
1.926132554645578011e+03 nan nan
1.926139075330338983e+03 nan nan
1.926145595884148406e+03 nan nan
1.926152116307003098e+03 nan nan
1.926158636598898511e+03 nan nan
1.926165156759831916e+03 nan nan
1.926171676789799221e+03 nan nan
1.926178196688797016e+03 nan nan
1.926184716456821661e+03 nan nan
1.926191236093869520e+03 nan nan
1.926197755599936727e+03 nan nan
1.926204274975019871e+03 nan nan
1.926210794219115314e+03 nan nan
1.926217313332219419e+03 nan nan
1.926223832314328547e+03 nan nan
1.926230351165439060e+03 nan nan
1.926236869885547321e+03 nan nan
1.926243388474649691e+03 nan nan
1.926249906932742533e+03 nan nan
1.926256425259822663e+03 nan nan
1.926262943455885761e+03 nan nan
1.926269461520928417e+03 nan nan
1.926275979454947219e+03 nan nan
1.926282497257938530e+03 nan nan
1.926289014929898485e+03 nan nan
1.926295532470823673e+03 nan nan
1.926302049880710229e+03 nan nan
1.926308567159554968e+03 nan nan
1.926315084307353800e+03 nan nan
1.926321601324103312e+03 nan nan
1.926328118209799868e+03 nan nan
1.926334634964439829e+03 nan nan
1.926341151588019557e+03 nan nan
1.926347668080535641e+03 nan nan
1.926354184441983989e+03 nan nan
1.926360700672361418e+03 nan nan
1.926367216771663834e+03 nan nan
1.926373732739888283e+03 nan nan
1.926380248577030898e+03 nan nan
1.926386764283087359e+03 nan nan
1.926393279858055166e+03 nan nan
1.926399795301929998e+03 nan nan
1.926406310614708445e+03 nan nan
1.926412825796386414e+03 nan nan
1.926419340846961177e+03 nan nan
1.926425855766428413e+03 nan nan
1.926432370554784939e+03 nan nan
1.926438885212026889e+03 nan nan
1.926445399738150400e+03 nan nan
