# wavelength(nm) flux flux_error
1.925880871157075035e+03 nan nan
1.925887390488633855e+03 nan nan
1.925893909696863147e+03 nan nan
1.925900428781759047e+03 nan nan
1.925906947743317005e+03 nan nan
1.925913466581533385e+03 nan nan
1.925919985296404093e+03 nan nan
1.925926503887925037e+03 nan nan
1.925933022356092351e+03 nan nan
1.925939540700901489e+03 nan nan
1.925946058922348811e+03 nan nan
1.925952577020430454e+03 nan nan
1.925959094995141868e+03 nan nan
1.925965612846479189e+03 nan nan
1.925972130574438779e+03 nan nan
1.925978648179016091e+03 nan nan
1.925985165660207258e+03 nan nan
1.925991683018008189e+03 nan nan
1.925998200252414790e+03 nan nan
1.926004717363423197e+03 nan nan
1.926011234351029316e+03 nan nan
1.926017751215228827e+03 nan nan
1.926024267956018093e+03 nan nan
1.926030784573393021e+03 nan nan
1.926037301067349290e+03 nan nan
1.926043817437883035e+03 nan nan
1.926050333684990164e+03 nan nan
1.926056849808667039e+03 nan nan
1.926063365808908884e+03 nan nan
1.926069881685712062e+03 nan nan
1.926076397439072480e+03 nan nan
1.926082913068986045e+03 nan nan
1.926089428575448437e+03 nan nan
1.926095943958456473e+03 nan nan
1.926102459218005379e+03 nan nan
1.926108974354091288e+03 nan nan
1.926115489366710335e+03 nan nan
1.926122004255858201e+03 nan nan
1.926128519021531019e+03 nan nan
1.926135033663724698e+03 nan nan
1.926141548182435145e+03 nan nan
1.926148062577658493e+03 nan nan
1.926154576849390423e+03 nan nan
1.926161090997627070e+03 nan nan
1.926167605022364341e+03 nan nan
1.926174118923598371e+03 nan nan
1.926180632701324839e+03 nan nan
1.926187146355540108e+03 nan nan
1.926193659886239629e+03 nan nan
1.926200173293419766e+03 nan nan
1.926206686577076198e+03 nan nan
1.926213199737204832e+03 nan nan
1.926219712773802030e+03 nan nan
1.926226225686863472e+03 nan nan
1.926232738476385293e+03 nan nan
1.926239251142362946e+03 nan nan
1.926245763684793019e+03 nan nan
1.926252276103671420e+03 nan nan
1.926258788398993829e+03 nan nan
1.926265300570755926e+03 nan nan
1.926271812618954300e+03 nan nan
1.926278324543584858e+03 nan nan
1.926284836344643054e+03 nan nan
1.926291348022125248e+03 nan nan
1.926297859576027349e+03 nan nan
1.926304371006345264e+03 nan nan
1.926310882313074899e+03 nan nan
1.926317393496212389e+03 nan nan
1.926323904555753415e+03 nan nan
1.926330415491694112e+03 nan nan
1.926336926304030612e+03 nan nan
1.926343436992758825e+03 nan nan
1.926349947557874202e+03 nan nan
1.926356457999373333e+03 nan nan
1.926362968317251671e+03 nan nan
1.926369478511505804e+03 nan nan
1.926375988582131413e+03 nan nan
1.926382498529123950e+03 nan nan
1.926389008352480232e+03 nan nan
1.926395518052195484e+03 nan nan
1.926402027628266296e+03 nan nan
1.926408537080687893e+03 nan nan
1.926415046409457091e+03 nan nan
1.926421555614569115e+03 nan nan
1.926428064696020556e+03 nan nan
1.926434573653807092e+03 nan nan
1.926441082487924405e+03 nan nan
1.926447591198368855e+03 nan nan
1.926454099785136123e+03 nan nan
1.926460608248222343e+03 nan nan
1.926467116587623650e+03 nan nan
1.926473624803335724e+03 nan nan
1.926480132895354700e+03 nan nan
1.926486640863676257e+03 nan nan
1.926493148708296758e+03 nan nan
1.926499656429211655e+03 nan nan
1.926506164026417764e+03 nan nan
1.926512671499910084e+03 nan nan
1.926519178849684977e+03 nan nan
1.926525686075738804e+03 nan nan
1.926532193178066791e+03 nan nan
1.926538700156665300e+03 nan nan
1.926545207011530692e+03 nan nan
1.926551713742657967e+03 nan nan
1.926558220350043939e+03 nan nan
1.926564726833684517e+03 nan nan
1.926571233193574926e+03 nan nan
1.926577739429711755e+03 nan nan
1.926584245542091139e+03 nan nan
1.926590751530708530e+03 nan nan
1.926597257395560064e+03 nan nan
1.926603763136642101e+03 nan nan
1.926610268753949867e+03 nan nan
1.926616774247479952e+03 nan nan
1.926623279617227809e+03 nan nan
1.926629784863190025e+03 nan nan
1.926636289985362055e+03 nan nan
1.926642794983740259e+03 nan nan
1.926649299858320092e+03 nan nan
1.926655804609097913e+03 nan nan
1.926662309236069859e+03 nan nan
1.926668813739231382e+03 nan nan
