# wavelength(nm) flux
1.924659592754637970e+03 1.039740900309661376e+00
1.924666135077590297e+03 1.038591181698268917e+00
1.924672677277971616e+03 1.037933040002995799e+00
1.924679219355777605e+03 1.037687560585702551e+00
1.924685761311004399e+03 1.037640290300599233e+00
1.924692303143647678e+03 1.037499855300923146e+00
1.924698844853703577e+03 1.037129030035012223e+00
1.924705386441168230e+03 1.036581369870669178e+00
1.924711927906037090e+03 1.036041447358171608e+00
1.924718469248306519e+03 1.035704197053708420e+00
1.924725010467972197e+03 1.035694828823691793e+00
1.924731551565030031e+03 1.036051030060016753e+00
1.924738092539476156e+03 1.036733755215131891e+00
1.924744633391306479e+03 1.037551904164902394e+00
1.924751174120516907e+03 1.038288996267106912e+00
1.924757714727103121e+03 1.038796485683021853e+00
1.924764255211061254e+03 1.039090305693442851e+00
1.924770795572387442e+03 1.039370357382943366e+00
1.924777335811077364e+03 1.039925649444253697e+00
1.924783875927127156e+03 1.040971872174962121e+00
1.924790415920532496e+03 1.042528785473874064e+00
1.924796955791289520e+03 1.044290124123937069e+00
1.924803495539394135e+03 1.045878096448592753e+00
1.924810035164842247e+03 1.047049862977350365e+00
1.924816574667629538e+03 1.047773940814328508e+00
1.924823114047752597e+03 1.048166962653136469e+00
1.924829653305206648e+03 1.048374088737961785e+00
1.924836192439988054e+03 1.048501884995860056e+00
1.924842731452092721e+03 1.048602265629352770e+00
1.924849270341516331e+03 1.048670110369751107e+00
1.924855809108255016e+03 1.048677415905001853e+00
1.924862347752304686e+03 1.048631640734931425e+00
1.924868886273661246e+03 1.048605280691557118e+00
1.924875424672320833e+03 1.048713647921926340e+00
1.924881962948279352e+03 1.049060723336190160e+00
1.924888501101532256e+03 1.049687466777057043e+00
1.924895039132076136e+03 1.050559804650781359e+00
1.924901577039906442e+03 1.051584184613271189e+00
1.924908114825019311e+03 1.052687731321839237e+00
1.924914652487410876e+03 1.053870968509431405e+00
1.924921190027076591e+03 1.055176304088190742e+00
1.924927727444012817e+03 1.056655050970766396e+00
1.924934264738215234e+03 1.058350631369677108e+00
1.924940801909680204e+03 1.060295996131536800e+00
1.924947338958402952e+03 1.062504422928305825e+00
1.924953875884380295e+03 1.064913441215072476e+00
1.924960412687607231e+03 1.067329085422260349e+00
1.924966949368080577e+03 1.069530749095555233e+00
1.924973485925795558e+03 1.071365424883400363e+00
1.924980022360748762e+03 1.072831437157585110e+00
1.924986558672935416e+03 1.074053876211344738e+00
1.924993094862352109e+03 1.075174413535455287e+00
1.924999630928994293e+03 1.076252108822547848e+00
1.925006166872858330e+03 1.077229618601450500e+00
1.925012702693939673e+03 1.078020975299976314e+00
1.925019238392234683e+03 1.078561722250371391e+00
1.925025773967739269e+03 1.078815279784348657e+00
1.925032309420449110e+03 1.078747629196937341e+00
1.925038844750360340e+03 1.078328884930878973e+00
1.925045379957468867e+03 1.077570331677837112e+00
1.925051915041770599e+03 1.076545943557925433e+00
1.925058450003261669e+03 1.075355219776474636e+00
1.925064984841937530e+03 1.074089072465840289e+00
1.925071519557794772e+03 1.072757010420045232e+00
1.925078054150828621e+03 1.071326638858513647e+00
1.925084588621035664e+03 1.069768568899011285e+00
1.925091122968411582e+03 1.068094521518465179e+00
1.925097657192952056e+03 1.066364577457026064e+00
1.925104191294653447e+03 1.064660418415559251e+00
1.925110725273511434e+03 1.063057290184999726e+00
1.925117259129522381e+03 1.061583372950222648e+00
1.925123792862681739e+03 1.060239532905033144e+00
