# wavelength(nm) flux flux_error
1.924943118910534622e+03 nan nan
1.924949662288063109e+03 nan nan
1.924956205537834194e+03 nan nan
1.924962748659842646e+03 nan nan
1.924969291654085964e+03 nan nan
1.924975834520559374e+03 nan nan
1.924982377259259920e+03 nan nan
1.924988919870183054e+03 nan nan
1.924995462353325593e+03 nan nan
1.925002004708683216e+03 nan nan
1.925008546936252515e+03 nan nan
1.925015089036029394e+03 nan nan
1.925021631008010445e+03 nan nan
1.925028172852191574e+03 nan nan
1.925034714568569143e+03 nan nan
1.925041256157139514e+03 nan nan
1.925047797617898595e+03 nan nan
1.925054338950842521e+03 nan nan
1.925060880155968107e+03 nan nan
1.925067421233270807e+03 nan nan
1.925073962182747437e+03 nan nan
1.925080503004393677e+03 nan nan
1.925087043698206116e+03 nan nan
1.925093584264181118e+03 nan nan
1.925100124702314133e+03 nan nan
1.925106665012602207e+03 nan nan
1.925113205195041246e+03 nan nan
1.925119745249627613e+03 nan nan
1.925126285176357214e+03 nan nan
1.925132824975226413e+03 nan nan
1.925139364646231570e+03 nan nan
1.925145904189368594e+03 nan nan
1.925152443604633618e+03 nan nan
1.925158982892023459e+03 nan nan
1.925165522051534026e+03 nan nan
1.925172061083161225e+03 nan nan
1.925178599986901645e+03 nan nan
1.925185138762751194e+03 nan nan
1.925191677410706689e+03 nan nan
1.925198215930763809e+03 nan nan
1.925204754322918689e+03 nan nan
1.925211292587167918e+03 nan nan
1.925217830723507404e+03 nan nan
1.925224368731933282e+03 nan nan
1.925230906612442141e+03 nan nan
1.925237444365030342e+03 nan nan
1.925243981989693793e+03 nan nan
1.925250519486428402e+03 nan nan
1.925257056855230758e+03 nan nan
1.925263594096096995e+03 nan nan
1.925270131209023248e+03 nan nan
1.925276668194006106e+03 nan nan
1.925283205051041477e+03 nan nan
1.925289741780125496e+03 nan nan
1.925296278381254524e+03 nan nan
1.925302814854424696e+03 nan nan
1.925309351199632374e+03 nan nan
1.925315887416873466e+03 nan nan
